               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.026502,            0.015155,                   0,              0.7872,             0.74714,              0.8062,             0.47814,             0.02711,            0.010401,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.027174,            0.015712,                   0,             0.76059,             0.79816,             0.80622,              0.4589,            0.028007,            0.010363,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.026712,            0.015785,                   0,             0.76572,             0.76847,             0.79621,             0.46842,             0.02674,            0.010258,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.027269,            0.014974,                   0,             0.82443,             0.77833,              0.8367,             0.49857,            0.027652,             0.01016,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.026722,            0.014775,                   0,             0.80174,             0.73399,             0.81828,             0.48074,            0.027765,            0.010443,                   0,            0.005842,            0.005842,            0.005842
                  44,             0.02624,            0.015398,                   0,             0.76773,             0.71429,             0.81139,             0.48315,            0.027567,            0.010564,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.025471,            0.014416,                   0,             0.79211,             0.72906,              0.7895,             0.46758,            0.027619,            0.010483,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.025636,            0.014336,                   0,             0.72922,             0.76942,             0.78099,              0.4461,            0.026795,            0.010751,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.024965,            0.014048,                   0,             0.79152,             0.76683,             0.82495,             0.47172,            0.026751,            0.010549,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.025151,            0.014589,                   0,             0.81328,             0.71921,             0.80408,             0.48429,            0.026446,            0.010457,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.025851,            0.014976,                   0,              0.7938,             0.77753,             0.81249,             0.47319,            0.026764,            0.010339,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025876,            0.014585,                   0,             0.82243,             0.71921,             0.82771,              0.5003,            0.026769,            0.010169,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.025285,             0.01499,                   0,             0.80143,             0.73399,             0.83338,             0.48639,            0.026735,             0.01035,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.025575,            0.014726,                   0,             0.72953,             0.75738,             0.79935,             0.45437,            0.027205,            0.010755,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.024579,            0.014428,                   0,             0.79081,             0.76351,             0.81302,             0.48039,            0.026854,             0.01012,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.025343,             0.01469,                   0,             0.75218,             0.72906,             0.79815,             0.45802,            0.026746,             0.01081,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.025071,            0.014321,                   0,             0.75935,             0.76166,             0.82014,             0.49597,            0.026311,            0.010232,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.02421,            0.014541,                   0,             0.78898,             0.75862,             0.82902,             0.50034,            0.026209,             0.01026,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.024685,            0.013963,                   0,             0.80529,             0.74384,             0.81226,             0.48834,            0.026748,            0.010664,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.024801,            0.014066,                   0,             0.77734,             0.78818,             0.83354,             0.50228,            0.026513,             0.01025,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.02343,            0.014063,                   0,             0.82092,             0.76355,             0.84062,             0.50989,            0.027052,            0.010363,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.024104,            0.013759,                   0,             0.79782,              0.7387,             0.82987,             0.50435,            0.026574,            0.010621,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.023163,            0.013895,                   0,             0.78673,             0.75369,             0.83731,             0.49595,             0.02667,            0.010559,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.024462,            0.014003,                   0,             0.80356,              0.7859,             0.84598,             0.51327,            0.026447,            0.010124,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.02301,            0.013516,                   0,             0.79907,             0.74443,             0.81113,             0.48873,            0.026536,            0.010292,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.023234,            0.013529,                   0,             0.72506,             0.79245,             0.81483,             0.49033,            0.026626,             0.01047,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.023562,            0.013784,                   0,             0.78262,              0.7734,             0.82282,             0.48983,            0.026255,            0.010298,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.022949,            0.013942,                   0,              0.7925,             0.73399,             0.82076,              0.4852,            0.026693,            0.010587,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.023288,            0.013463,                   0,             0.83018,             0.74653,             0.82752,             0.48281,            0.027003,            0.011097,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.022363,            0.013466,                   0,             0.79013,             0.76355,              0.8322,             0.49281,            0.026818,            0.010646,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.023236,            0.013482,                   0,              0.7968,             0.77266,              0.8339,             0.50273,            0.026216,            0.010419,                   0,            0.003268,            0.003268,            0.003268
