               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075404,            0.030019,                   0,              0.4214,             0.40394,             0.37512,             0.16897,            0.046845,             0.01488,                   0,            0.070127,           0.0033192,           0.0033192
                   1,            0.052883,            0.022097,                   0,             0.48902,             0.56102,             0.47281,             0.20222,            0.043519,            0.011527,                   0,            0.040061,           0.0065867,           0.0065867
                   2,            0.049517,            0.020422,                   0,             0.65707,             0.65517,             0.68662,             0.29297,            0.040681,            0.011123,                   0,           0.0099294,           0.0097882,           0.0097882
                   3,             0.04671,            0.019171,                   0,             0.70383,             0.63547,             0.66568,             0.27667,             0.03916,            0.010928,                   0,            0.009703,            0.009703,            0.009703
